Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
1,50000,4.5347186e-20,0,9.5271652e-06,-0.11211905,-4.0481901e-09,-0.11210953,0,0,0
100,50000,6.4024803e-10,0,1.270343e-05,-0.10754532,0.00016075116,-0.10737186,0,0,493500
200,50000,1.0667575e-09,0,1.7532012e-05,-0.10473275,0.001070147,-0.10364507,0,0,493500
300,50000,1.4667174e-09,0,2.7137247e-05,-0.10152233,0.0022954544,-0.099199736,0,0,493500
400,50000,2.1602976e-09,0,4.1411885e-05,-0.098077709,0.0038536402,-0.094182657,0,0,493500
500,50000,2.5013446e-09,0,5.8022222e-05,-0.094876357,0.0054538002,-0.089364535,0,0,493500
600,50000,2.6216038e-09,0,8.1747065e-05,-0.089711916,0.0068121346,-0.082818035,0,0,493500
700,50000,2.9860281e-09,0,0.00011159154,-0.083555149,0.0080091502,-0.075434407,0,0,493500
800,50000,3.2153655e-09,0,0.00014584451,-0.077690332,0.0088882004,-0.068656287,0,0,493500
900,50000,3.3565259e-09,0,0.00018502085,-0.0726791,0.0096291262,-0.062864953,0,0,493500
1000,50000,3.7922407e-09,0,0.00022931481,-0.067468591,0.010195568,-0.057043708,0,0,493500
1100,50000,4.092832e-09,0,0.00027859374,-0.063486105,0.010615869,-0.052591643,0,0,493500
1200,50000,4.2312735e-09,0,0.0003322947,-0.059042904,0.010845509,-0.047865101,0,0,493500
1300,50000,4.694638e-09,0,0.00038878307,-0.054418275,0.011023397,-0.043006094,0,0,493500
1400,50000,4.9423028e-09,0,0.00045176588,-0.050376614,0.011068112,-0.038856737,0,0,493500
1500,50000,5.101992e-09,0,0.00051914393,-0.046434682,0.010931555,-0.034983983,0,0,493500
1600,50000,5.4320337e-09,0,0.00058874113,-0.043322334,0.010772196,-0.031961396,0,0,493500
1700,50000,5.6364286e-09,0,0.00066224209,-0.04050346,0.010544115,-0.029297103,0,0,493500
1800,50000,5.8018733e-09,0,0.00073853191,-0.038654101,0.01054939,-0.027366179,0,0,493500
1900,50000,5.9957338e-09,0,0.00082108334,-0.035629072,0.010427944,-0.024380045,0,0,493500
2000,50000,6.1681191e-09,0,0.00090701536,-0.032537857,0.010189415,-0.021441426,0,0,493500
2100,50000,6.2576488e-09,0,0.00099311802,-0.03022855,0.010059521,-0.019175911,0,0,493500
2200,50000,6.4478368e-09,0,0.0010858873,-0.027872573,0.0099752746,-0.016811411,0,0,493500
2300,50000,6.5922494e-09,0,0.0011800013,-0.026769105,0.01002767,-0.015561434,0,0,493500
2400,50000,6.651816e-09,0,0.0012724134,-0.025223111,0.0099073249,-0.014043373,0,0,493500
2500,50000,6.7852967e-09,0,0.0013678001,-0.023026978,0.0097250342,-0.011934143,0,0,493500
2600,50000,6.8772728e-09,0,0.0014628994,-0.021220628,0.0095575166,-0.010200212,0,0,493500
2700,50000,6.8774418e-09,0,0.0015562021,-0.019852788,0.0094360015,-0.0088605841,0,0,493500
2800,50000,6.9331623e-09,0,0.0016464859,-0.018578603,0.0092684094,-0.0076637075,0,0,493500
2900,50000,6.9640988e-09,0,0.0017282653,-0.017809964,0.0090278371,-0.0070538612,0,0,493500
3000,50000,6.9612831e-09,0,0.0018046661,-0.016969927,0.0087931294,-0.0063721318,0,0,493500
3100,50000,6.9425435e-09,0,0.0018745014,-0.015538403,0.0085279704,-0.0051359314,0,0,493500
3200,50000,6.9490607e-09,0,0.0019312388,-0.014723772,0.0081690385,-0.0046234951,0,0,493500
3300,50000,6.9016223e-09,0,0.0019788756,-0.01375124,0.0078288209,-0.0039435434,0,0,493500
3400,50000,6.849735e-09,0,0.0020164604,-0.012893462,0.0074532056,-0.0034237963,0,0,493500
3500,50000,6.8037451e-09,0,0.0020412095,-0.012296418,0.0070603372,-0.003194871,0,0,493500
3600,50000,6.7202623e-09,0,0.0020539471,-0.011507393,0.0065998928,-0.0028535531,0,0,493500
3700,50000,6.6437203e-09,0,0.0020555071,-0.010786763,0.006188201,-0.0025430549,0,0,493500
3800,50000,6.5870501e-09,0,0.0020507476,-0.0099275232,0.0056824807,-0.0021942949,0,0,493500
3900,50000,6.4875622e-09,0,0.0020380817,-0.0091819747,0.0052630558,-0.0018808372,0,0,493500
4000,50000,6.4015594e-09,0,0.0020178511,-0.0083175923,0.0048028857,-0.0014968555,0,0,493500
4100,50000,6.325037e-09,0,0.001994205,-0.0077867058,0.0043716874,-0.0014208135,0,0,493500
4200,50000,6.2401999e-09,0,0.0019664031,-0.0074131655,0.0039988584,-0.0014479039,0,0,493500
4300,50000,6.1404477e-09,0,0.0019360798,-0.0067301651,0.003646744,-0.0011473413,0,0,493500
4400,50000,6.0629509e-09,0,0.0019035986,-0.0061126699,0.0034313101,-0.00077776109,0,0,493500
